contract,internet_service_DSL,internet_service_Fiber,internet_service_Unknown,monthly_charges,online_security,payment_method_Cash,payment_method_Credit,payment_method_Debit,payment_method_UPI,support_calls,tech_support,tenure,total_charges,churn
2,0,1,0,41.89,0,1,0,0,0,2,0,10,418.9,0
0,0,1,0,106.73,1,0,0,1,0,0,0,25,2668.25,0
0,0,1,0,50.02,0,0,0,1,0,0,1,24,1200.48,0
2,0,1,0,58.98,1,0,1,0,0,1,1,34,2005.32,1
0,0,1,0,91.16,1,0,0,0,1,1,0,62,5651.92,1
0,0,1,0,85.23,0,0,0,1,0,0,1,6,511.38,0
0,1,0,0,100.87,0,0,0,1,0,0,0,44,4438.28,0
1,1,0,0,93.01,1,1,0,0,0,3,0,9,837.09,0
1,0,1,0,72.2,1,1,0,0,0,2,1,29,2093.8,0
0,0,1,0,48.02,0,0,1,0,0,0,1,22,1056.44,1
0,0,0,1,39.53,1,0,1,0,0,4,1,41,1620.73,0
0,1,0,0,81.49,1,0,0,1,0,1,1,40,3259.6,0
1,1,0,0,29.36,1,0,1,0,0,1,0,62,1820.32,0
0,1,0,0,33.67,1,0,1,0,0,0,1,51,1717.17,0
0,0,1,0,31.29,1,0,0,1,0,0,0,38,1189.02,0
0,0,1,0,105.51,0,0,0,1,0,1,0,59,6225.09,1
2,0,1,0,41.84,0,0,1,0,0,2,0,38,1589.92,0
1,1,0,0,113.84,0,0,1,0,0,1,0,53,6033.52,0
2,0,1,0,61.25,0,0,0,1,0,0,1,11,673.75,0
0,0,1,0,107.29,1,0,0,1,0,1,0,69,7403.01,1
1,0,1,0,68.61,0,0,0,1,0,1,0,67,4596.87,0
0,0,1,0,25.56,0,0,0,0,1,1,0,18,460.08,0
0,0,0,1,72.82,0,0,1,0,0,4,1,51,3713.82,0
0,1,0,0,44.61,0,0,0,0,1,2,0,37,1650.57,0
0,1,0,0,95.95,0,0,1,0,0,1,0,70,6716.5,1
0,0,1,0,97.2,0,0,1,0,0,0,1,43,4179.6,0
0,1,0,0,95.58,1,1,0,0,0,1,0,52,4970.16,1
2,0,1,0,55.3,1,1,0,0,0,0,0,68,3760.4,0
0,0,1,0,93.38,0,1,0,0,0,3,0,72,6723.36,0
0,0,1,0,104.97,0,0,0,1,0,1,1,31,3254.07,0
1,0,1,0,90.09,1,0,0,0,1,2,0,19,1711.71,0
1,0,1,0,69.53,0,1,0,0,0,1,0,3,208.59,0
2,0,1,0,54.1,0,0,0,1,0,2,0,40,2164.0,0
0,1,0,0,49.26,0,0,0,1,0,2,0,69,3398.94,1
0,0,1,0,36.87,0,0,1,0,0,2,1,13,479.31,0
0,1,0,0,110.04,0,0,0,0,1,2,0,22,2420.88,1
0,1,0,0,62.11,0,1,0,0,0,2,0,35,2173.85,0
0,0,1,0,111.51,0,0,0,0,1,3,1,16,1784.16,0
0,0,1,0,38.55,0,0,0,0,1,2,0,37,1426.35,0
0,0,1,0,27.46,0,0,0,1,0,1,0,56,1537.76,0
0,1,0,0,55.66,1,0,0,1,0,0,0,4,222.64,1
