,customer_id,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn
customer_id,1.0,0.00468575165666368,-0.002887926984128224,0.0023350217310539713,0.0007934020623934542,0.0017719155076724334,-0.008844052797289932,-0.013713048475251715,0.007049550124958827,0.01737311762385501,0.009097480942290804
tenure,0.00468575165666368,1.0,-0.011136807181124185,0.7660896045662408,0.0013162454889604142,-0.0046080160277258714,0.008612206626455338,0.000150906639694667,0.004538027932412949,-0.0012987340204176376,-0.08464157076498613
monthly_charges,-0.002887926984128224,-0.011136807181124185,1.0,0.5490257504784757,-0.0020569993631408927,-0.001226699303368584,-0.004835068956455496,0.011604121801088678,-0.006467513360804785,-0.00852597962121048,0.2416328732092613
total_charges,0.0023350217310539713,0.7660896045662408,0.5490257504784757,1.0,0.00410880067062848,-0.005464314855716905,0.0012933197806645408,0.009603495804215224,-0.001339488627362371,-0.009110015822618264,0.06857953465984794
contract,0.0007934020623934542,0.0013162454889604142,-0.0020569993631408927,0.00410880067062848,1.0,-0.0068508623685833376,0.003271678392533588,-0.009962714418491196,-0.004714097921753119,-0.006772555359939833,-0.2057561818445845
payment_method,0.0017719155076724334,-0.0046080160277258714,-0.001226699303368584,-0.005464314855716905,-0.0068508623685833376,1.0,-0.0016001977859370084,0.00045281559063035687,0.011556489362224514,0.003213316784465889,0.0011142672747059496
internet_service,-0.008844052797289932,0.008612206626455338,-0.004835068956455496,0.0012933197806645408,0.003271678392533588,-0.0016001977859370084,1.0,-0.011620381800040842,0.0025621553371958546,0.0006599564005099213,0.0020157575371225513
tech_support,-0.013713048475251715,0.000150906639694667,0.011604121801088678,0.009603495804215224,-0.009962714418491196,0.00045281559063035687,-0.011620381800040842,1.0,-0.0006779471465863168,-0.007903664289522515,-0.20656616614235668
online_security,0.007049550124958827,0.004538027932412949,-0.006467513360804785,-0.001339488627362371,-0.004714097921753119,0.011556489362224514,0.0025621553371958546,-0.0006779471465863168,1.0,0.008566851029035183,0.007236316905849603
support_calls,0.01737311762385501,-0.0012987340204176376,-0.00852597962121048,-0.009110015822618264,-0.006772555359939833,0.003213316784465889,0.0006599564005099213,-0.007903664289522515,0.008566851029035183,1.0,0.19286798225560173
churn,0.009097480942290804,-0.08464157076498613,0.2416328732092613,0.06857953465984794,-0.2057561818445845,0.0011142672747059496,0.0020157575371225513,-0.20656616614235668,0.007236316905849603,0.19286798225560173,1.0
